iter	Passed	Remaining
0	110	54907
1	218	54525
2	333	55261
3	445	55214
4	554	54867
5	665	54806
6	776	54669
7	877	53946
8	987	53896
9	1103	54064
10	1222	54342
11	1334	54279
12	1454	54494
13	1570	54506
14	1690	54652
15	1802	54522
16	1915	54421
17	2029	54343
18	2036	51546
19	2154	51705
20	2270	51786
21	2388	51898
22	2504	51941
23	2626	52093
24	2743	52124
25	2862	52193
26	2979	52193
27	3094	52157
28	3209	52130
29	3327	52127
30	3444	52108
31	3560	52079
32	3673	51992
33	3790	51958
34	3910	51950
35	4026	51898
36	4140	51818
37	4254	51729
38	4365	51600
39	4480	51530
40	4598	51484
41	4722	51492
42	4847	51518
43	4961	51418
44	5075	51316
45	5189	51217
46	5304	51130
47	5419	51033
48	5542	51016
49	5662	50960
50	5778	50870
51	5897	50812
52	6015	50731
